,user_name,rating,date,content
10,Cho howon (꿀꿀이비엔나),5,2022년 9월 16일,"애용하는 앱이라 우선 평점은 5점 달았는데요. 이번에 업데이트 되면서 나의 당근 메뉴가 인터페이스가 달라졌어요,그라서 고객센터에 문의를 했는데요. 알람이 계속 떠 있는데 이게 어디 무슨 알람인지 알수가 없구요. 고객센터에 문의한 내역도 결과도 알수가 없네요. 같은 버전인데 다른 폰에 설치하면 기존 인터페이스가 같은데 제폰(노트10)만 화면이 바뀌었어요ㅠ너무 답답하네요ㅠ"
11,Laito Yagami,3,2022년 8월 3일,터치민감도 너무 심해요 브라우징 불가능할 정도에요. 대부분 쇼핑앱이 그렇기는하지만 살짝 스처만 가도 페이지로 들어가버리네요. 아래위로 스크롤이 불가능할 정도에요. 조회수 늘릴려고 이렇게 설정한거 같은데 좀 심해요. 폰에서 민감도 설정 바꾸라 하지마세요. 당근 11번가 등등 몇몇 쇼핑앱 빼고 다 정상이니까
12,김서진,3,2022년 9월 6일,"며칠전까지 잘 오던 알림소리가 오지 않습니다. 다른분이 남기신 같은 리뷰글에 달아주신 답변보고 앱 삭제후 재설치, 설정 모두 다 확인해봤는데 모두 제대로 되있는데 갑자기 알림소리가 안납니다. 그래서 채팅을 계속 뒤늦게 확인하게 됩니다. 뭐 만진게 없는데 갑자기 왜 이러는건가요? 해보라는 방법대로 다 해봤는데 여전히 알림이 안오면 해결 방법 없는건가요??;;"
13,김민준,3,2022년 9월 6일,"원인이 뭔지 모르겠는데 대략 한달전부터 알림이 울리지 않네요 설정을 다 바꾸고 해봐도 안되고 어플을 지웠다가 다시 설치하면 다시 돌아왔다가 또 어느 순간 다시 같은 증상이 반복되네요 기기가 소리, 진동 모드인데도 당근에서 발생하는 알림만 무음으로 표시되네요 기기는 lg g8이고 안드로이드12입니다"
14,유효,3,2022년 9월 27일,잘 사용하고 있었는데 키워드알림 등록 카테고리가 나의알림 메뉴에서 갑작이 없어졌어요 홈화면>우측상단 종모양> 키워드알림 선택> 상단 우측 설정버튼 찾아서 변경하는 방법 뿐인없군요;; 키워드알림 자주 변경하는데 한동안 못 찾아서 아주 불편했어요 업데이트됐는데 키워드알림 설정 메뉴는 아직 따로 안보이네요 이렇게 고정인건지. . .
15,Google 사용자,1,2022년 9월 26일,"백그라운드상태에서 당근마켓 알림이 전혀들어오지않습니다. 기기초기화,앱재설치해도 동일합니다. 당근마켓앱을실행해놓은상태 또는 플립화면을 펼친상태로 당근마켓앱을 실행해야지 알림이옵니다. 앱모두닫기하면 즉시 알림안옴. 개선해주세요"
16,레나rana _diary,4,2022년 9월 7일,정말 잘 사용하고 있는 앱입니다. 다만 번개장터처럼 자신의 게시글을 찜한 사람에게 먼저 연락할수있는 기능이 생겼으면 좋겠습니다. 진짜 소원이예요.. 찜을 한사람은 많은데 연락을 안주시니까 게시글을 내려야하나 말아햐하나 엄청 고민되구요..급하게 팔아야하는데 찜해놓고 연락을 안주시니 되게 곤란합니다 😭 이러한 이유때문에 답답한것만 빼면 너무 좋은앱이예요ㅠㅠ 진짜 이기는 만들어주시면 평생 이앱 사용할게요. 글구 한게시물당 등록 가능한 사진을 조금 늘려주셨으면 해요. 여러개 묶어서 팔때 등록을 못해서 따로따로 올려야 하는 경우가 종종 있어요. 이정도만 해주셔도 진짜 너무 감사할거 같습니다ㅠㅠ
17,루비,5,2022년 8월 12일,너무 좋아요 진짜 잘 사용하고 있어요.. 운영정책 너무나도 깐깐하고 사용하기에 속 터지는 번개장터보다 사용하기 편리하고 운영정책이 자세하게 적혀있어서 너무 좋아요 다만 딱 하나 아쉬운 점은 동네에서만 거래할 수 있다는 점이에요..전국적으로 판매할 수 있는 기능을 만들면 어떨까요? 그러면 진짜 너무 좋을 것 같아요ㅠㅠ
18,- good,1,2022년 9월 13일,번호도용이 있었습니다. 고객센터 연결이 정말 어려웠고 돌아오는 답변은 다른 구매자분이 번호를 잘못 기입하셨을 수 있다. 외에는 별 대안이 없더군요. 그게 사실일수 있으나 제 입장에서는 문의한적도 없는 처음보는 번호의 판매자분이 구매의사를 묻는것도 당황스러웠고 그 분도 벙찌시더군요. 같은 일이 자주 발생할 수 있는 어플특성상 이에 관하여 잘못기입을 한 아이디에 직접 연락을 취해주시거나 찝찝한 마음이 남지 않도록 도용인지 실수인지 확실한 피드백 주시기를 개선 바랍니다.
19,해랑,5,2022년 9월 12일,당근마켓 잘 이용하고 있는데 사용할때 불편함이 별로 없는거 같아요. 음 그래도 하나만 얘기하자면 가격제안 거절이 있었으면 좋겠어요. 수락은 있는데 거절이 없어서 불편한거 같아요 거절을 누르면 대화창으로 넘어가는데 대화를 안해도 된다고 생각하는 때가 있어서 거절하기를 만들어 주셨으면 좋겠습니다
20,Rona,5,2022년 8월 24일,"진짜 너무 좋아요!! 아직 거래하는것은 못해봤지만 검색해도 다 나오고, 포카 거래 등등 제가 커서 해보고 싶은것들이 많이 나와요!! 글구 아무리 중고라 해도 어떤분들은 무료로 해주시니깐 너무 좋고요, 제가 사고 싶은것들이 나오니까 좋은거 같아요! 새거래가 아니라 중고 거래라 어색하지만 만나고 그러는게 온라인 택배보단 더 빠르고 좋은거 같아요!!"
21,열매,1,2022년 9월 25일,고객센터가해킹한거같음.거의 반년이상 물건은 일체 사질 않다가 9월 12일 오후 오랜만에 거래약속잡고 물건을 구매했는데 (그날 이후 오늘까지 잡화물건 계속 많이 샀음)근데 오늘 보니 9월 13일에 데이터소진 경고 문자가 왔더라고요. 제가 당근마켓 쓰는 폰이 1G짜리 요금이거든요. 개통 후 한 번도 데이터 소진된 일이 없어요. 와이파이에서만 사용가능하도록 설정해두고 변경한 적이 없기때문이죠. 오늘 114에서온 문자를 보고 혹시나해서 당근마켓 구입시작한 채팅 보니 12일 오후 4시 전후..그때부터 모바일데이터로 설정했다면 대략 13일오후6시에 데이터소진 문자 온 게 맞을거 같음. 답변요망.
22,조은지,5,2022년 8월 29일,"물건을 정리하다보면 버리기는 아깝고 주자니 누가 필요한지 모르니까 계속 집 한쪽 구석에 나두게 되었는데...당근마켓을 이용하면서부터는 잘 안쓰는 물건을 버리는게 아니라 필요한분께 나눔을 할 수도 있고, 저렴하게 팔수도 있어서 집에 물건들이 정리가 되어가는것 같아 참 마음이 가벼지는 느낌입니다. 그리고 당근마켓 덕분에 재사용되는 물건들이 많아지게 되에 환경쓰레기도 줄이는 역활도 톡톡히 하고 있으니 참 생각할수록 이 당근마켓 앱을 만드신분께 감사한 마음이 들었습니다. 이 당근마켓 앱은 다른나라에서도 이용하면 좋겠다는 생각이 듭니다. 많은 물건들이 재사용되어 환경을 살리는데도 큰 도움이 될거라고 생각해요. 어쨌든 감사한 마음으로 앞으로도 당근마켓을 잘 이용하겠습니다. 감사합니다~~♡"
23,송은영,4,2022년 8월 26일,최고에요~! 그치만 사용하면서 딱하나 아쉬운게? 쬐끔 개발됐으면 하는게 있는데 제가 평소 관심있는 물품을 기반으로 ai가 물건을 자동추천해주는 기능(동네 안에서)이 있었으면 좋겠어요~~ 동네안에 있는 물건이 그냥 선착순으로 올라오니까 정작 제가 필요한 물건을 찾으려고 하면 시간이 너무 많이 걸리는거같아요! 쪼금 더 스마트한 당근🥕원해요😍💕💕
24,김시우,3,2022년 8월 19일,"다 좋은 것 같은데, 회원가입 할 때 인증 번호가 너무 안 와요.. 그래서 아직 들어가지도 못 하고 있어요 ㅠㅠ 저만 늦게 오는 건가요 | 리뷰 수정 부분: 지우고 다시 깔았는데 계속 인증문자가 안 오네요.. 저희 오빠랑 아빠는 잘 되던데.. ㅠㅠ, 왼쪽 위에 있는 돌아가기 버튼도 가입단계 진행 중에는 돌아갈 수 없다면서 막아놔요.."
25,Sung Hun Lee,4,2022년 9월 29일,나눔도하고 때론 나눔도받고 필요한 물건들이 올라오면 친절한 당근이웃도 만나서 저렴히 구매하고 매너점수 올라가는게 왜이리 신기한지 정말 유용하게 잘이용하고 있습니다 그런데 요몇일 알림이 안울려서 꽤당황했었네여..덕분에 휴대폰서비스센터 위치도 알게되었지만 전화문제가 아니고 앱문제라서 업뎃되면 될꺼라하여 당근에 문의주니 하루만에 업데이트하여 개선해주셔서 이렇게 알림소리도 잘울리니 뭔가 뻥뚤린기분이네여 앞으로도 중고거래는 당근과함께 쭉이어갈것입니다.
26,김유경,5,2022년 8월 12일,일단 광고 자체가 없구요 사람들과 소통하고 비움을 실천할수 있는 좋은 앱 같아요 청소년 들도 쉽고 간단하게 사용할 수 있고요 필요없는 물건을 버리긴 아깝고 공짜로 주긴 싫을 때 이 앱을 사용하시면 분명 만족하실 수 있으실겁니다 제 생각에는 함부로 물건을 쓰레기로 만들지 않으니까 환경에도 좋은 것 같습니다 채팅과 통화 기능도 있어서 편리하구요 고민고민하지 마시고 설치 버튼!
27,Ys B,1,2022년 8월 13일,게시글 둘러보기만 하려고 설치했는데 동네 설정단계에서 휴대전화 인증을 요구하고 단계를 되돌리는것을 강제로 막아놓는 앱입니다 뒤로가기 아이콘이 있어서 원하지 않으면 되돌아갈 수 있는 것처럼 해놓고 막상 누르면 되돌아가기를 거부하며 휴대전화 인증을 강요하는 이런 앱은 처음 봅니다 다시 확인해보니 휴대전화 인증절차가 가입단계에 포함된 것으로 보이고 아예 정상적인 방법으로는 앱을 끄지 못하게 되어있습니다 대단합니다
28,건이현이불꽃쇼,5,2022년 9월 22일,업데이트하면서 판매내역 구매내역 관심목록 등등 위치가 변경되어 불편해도 이숙하겠죠 그리고 혹시 동영상 추가언제할까요. ?? 추가해주신다고하더니 안해주시네요. 동영상보내기없어 전번받고 문자로 영상 보내고 넘불편해요. 그리고 이모티콘 누르 면자동으로 전송되는데 누르고보내기 변경 하면안될까요. 이모티콘 실수많이해요. ㅜ 그리고 내 물건 팔기 에서 카테고리 선택 누를때 물물교환 추가해주시면안될까요. 물물교환 불법은아니잖아요. 아닌가요. ? 그래도 당근마켓이용 좋아요.
29,김학연,5,2022년 9월 13일,잘쓰고있는데요 소리가 나지 않네요..설정에서 알림소리 지정했구요..설정에서 소리설정할때는 당근당근 하는데 정작 메시지가 왔을때는 무음이구요..핸드폰 어플리케이션 관리에서도 알림 전부다 허용으로 해놨는데도 소리가 안나네요..앱을 지웠다가 다시 깔았는데도 안되요ㅠㅠ원래는 소리가 났는데 갑자기 이러네요..어떻게해야하나요..ㅠㅠ
30,agen nar,5,2022년 5월 25일,"채팅올 때 ""당근~!""하고 울리는 알림음을 다른 걸로 바꿀 수는 없을까요? 폰의 순정 알림음으로 바꾸고 싶은데요. 채팅이 왔을 때 폰에 상단바를 내려서 알림창을 길게 누른 후 설정에 들어가서 메시지 알림음을 다른 걸로 바꿔도 여전히 ""당근~!""하고 울리네요. 공공장소나 어려운 자리에 있을 때 ""당근~!""하고 울리면 민망해서요ㅠㅠ"
31,민촠,4,2022년 9월 4일,최고의 중고거래 앱이에요!동네 근처에서 필요한 물건들을 저렴하게 구매할수 있어요!당근하면서 사람들의 따뜻한 마음과 정을 느낄수 있어서 너무 좋아요~~내겐 필요없지만 남에게 필요한 물건으로 조금씩 들어오는 수입도 짭짤하니 좋아용!강추합니다~ +몇달간 당근앱을 지우고 접속안하다가 얼마전 들어가보니 매너온도가 56정도였는데 50으로 줄어들었네요. 오랫동안 거래 안했다 해서 매너온도 떨어지는건 아닌것 같아요...유일한 아쉬운 점입니다.
32,그럼에도불구하고,4,2022년 8월 23일,"생활하는데 도움이 많이 되는 어플입니다. 동네 가게 정보와 후기들을 쉽게 접할 수 있고, 일상생활에 올라오는 소소한 이야기들 보는 재미도 있어요. 젤 중요한건 소비습관의 변화입니다. 새물건을 살까 싶다가도 당근을 한번 더 접속하는 습관이 생겼어요. 아마 당근같은 중고시장이 더 발전하고 커져야 환경에도 좋은 영향을 미치지 않을까 싶어요. 마음은 오점만점에 십점을 드리고싶은데 딱 하나 아쉬운점ㅠ 키워드 제외 설정이 있으면 더욱더 만족스럽게 이용할거 같아요♥"
33,병환이,5,2022년 9월 14일,"당근마켓 사용 잘하고있습니다. 캠핑용품, 아기용품 등등 그런데 궁금한게 있어서 글을 올립니다. 아기가 태어난지 100일 조금넘었고, 사용하던 유축기를 판매하려고 올렸는데 숨김게시글이라고 나오네요. 왜 그런걸까요? 제가 업자도 아니고, 이제 필요없어서 저렴한 가격에 다른분이 사용하실수 있도로 하려던건데 이유를 모르겄어요. 왜 숨김처리가 되는지 알려주실수 있을까요?"
34,유덕영,5,2022년 9월 25일,"다른 시이트와 다름이 확 느껴지는 사이트다. 버리기엔 멀쩡하고 아깝고 당장 구하자니 번거ㄹㆍ운 물건들이 그득하다. 특히 내게 잘 쓰였으나 고장난 게 아니고 자리만 차지하게 됐을 때 가격이 문제가 아니라 제대로 써줄 사람 찾는데 이만한 사이트가 있을까. 환경,사회적으로도 좋은 사이트다. 물푸이 오가며 느끼는 인간미는 더할수없는 덤 아니겠는가"
35,힝9,4,2022년 5월 25일,다크모드랑 라이트모드 중에서 설정할 수 있게 해주셨으면 좋겠어요... 분명 기기 설정 그대로 적용된다던데 다크 모드 아닌데도 지웠다가 다시 까니까 다크모드로 적용 되네요... 심지어 다크모드에서는 글씨도 안 보여요... 기본 글씨체 색이 검은색이라서 당근페이 같은 거 필수항목 체크할 때 글씨가 안 보여요
36,YS Park,1,2022년 8월 2일,일방적으로 다크모드로 변경되게 만들어놓고 다크 모드와 라이트 모드 선택할 수 있게 해달라고 했더니 핸드폰 설정을 바꾸라는둥 좋은 의견이니 다음에 고려하겠다는둥 말만하고 벌써 수개월이 흘렀네요. 사용자의 불편함은 전혀 고려하지 않고 문제를 제기했는데도 사용자가 몰라서 그렇다는듯의 답변은 기가 막힐뿐입니다. 요즘 핸드폰 설정과 별개로 다크와 라이트 모드 변경되는 어플밖에 없는데 관리자는 그걸 모르는건지 알면서 모르는척하는건지 모르겠네요. 못쓰겠으면 사용자가 힘이있나요? 그냥 불편해도 참고 써야지. 의견 수렴은 별로 필요 없어 보이네요. 뻔한 답변이 예상되지만 채팅창 이모티콘 을 선택하면 바로 보내지는데 실수로 엉뚱한 이모티콘 보내는것을 방지하기위해 카카오톡처럼 일단 선택된 이모티콘 확인하고 전송버튼 눌러서 전송 할 수있는 기능도 있으면 좋을듯 하네요. 애들 처럼 떼쓰는것도 아니고 안되면 안되는 이유를 알려주세요. 기술적으로 힘들다면 이해하고 넘어가겠습니다. 사용자 탓 하지 말구요
37,장영재,5,2022년 5월 27일,"2022/05/28: QA성 리뷰 남깁니다. 검색창 진입 시, 다크모드가 하단 검색어 프레임 혹은 전체 프레임에서 풀리는 경우가 빈번합니다. AdGuard쪽 회선을 빌린 사설 DNS 사용 중인데, 간혹 연결이 불안정해집니다. 사용 기기는 갤럭시 S8이고, 사용중인 터치 키보드는 삼성 기본 쿼티가 아니고 모아키입니다. 제가 FE나 BE는 잘 몰라서 용어가 적합하지 않을 수 있겠지만은... 개발자 분들 패치에 도움될 수 있으면 좋겠습니다. 감사합니다."
38,윰디,4,2022년 5월 29일,다크모드 설정이 가능하다해서 업데이트했는데 안드로이드 10이상 지원되는거였네요.. 10이하 기기의 사용자도 어플자체에서 다크모드가 실행가능하게끔 만들어주셨으면 좋겠다는 건의를 해봅니다.. S9+ 사용자라 디스플레이에 다크모드가 아예 없어서 밤에 휴대폰 사용할 때 화면보기가 좀 불편하더라구요..
39,isaac “nickname73y4” Han,5,2022년 6월 30일,"키워드 알림 기능이 유용한데, '제외 키워드' 기능이 추가됐으면 합니다. 예를들어 갤럭시 s20 모델에 관심있어서 S20을 등록해두면, 현재는 s20, s20플러스, s20울트라, s20 FE 등등 온갖 시리즈들이 다같이 알림에 뜨니까 너무 불편하네요.. 플러스, 울트라 같은 단어를 제외 등록해두면 딱 원하는 모델만 필터링이 가능할텐데 말이죠. 요건 그냥 예시로 들은건데, 무튼 추가되면 유용할 것 같은 기능이니 건의 부탁드려요"
40,River Shine,2,2022년 7월 30일,"채팅 알림음이 울리지 않아 번번히 거래 타이밍을 놓칩니다, 연락한 상대방한테도 실수하게 되고 저 또한 본의 아니게 계속 답변을 안하는 사람이 되는 꼴이 되어서 불쾌합니다, 알림설정에 들어가 확인해 보아도 마케팅알림과 기타알림을 제외하고는 알림허용이 다 되어 있는데 왜 이런건가요?!"
41,Black Noir,5,2022년 7월 23일,"(건의사항) 당근마켓 PC버전도 출시돼서 전국 게시물을 검색해볼 수 있는기능이 좋네요. 컴퓨터 말고 스마트폰으로 네이버나 크롬 브라우저앱을 통해서 웹버전으로도 자주 검색해보는 편인데, 게시물을 누를때마다 앱이 자동실행돼서 참 불편하네요. 기본설정 해제해도 실행되는거 보면 기본값으로 설정된 것 같은데.. 요거 다음 업데이트때 해제 좀 부탁드립니다ㅠㅠ 앱으로들어가면 동네 게시물밖에 못보네요..."
42,다윗_David,5,2022년 5월 23일,"안녕하세요. 당근버전이 6.4.5 인데요, 다크모드로 사용이 가능하다고 하는데 아무리 설정을 해봐도 다크모드 적용이 안되네요. 설정-디스플레이 에서도 다크로 설정을 해도, 설정-개발자옵션 에서도 다크모드로 설정을 해도 당근에서는 다크모드가 안됩니다. 도움 부탁드립니다."
43,나중에소주나 한잔하자 (제주살이중),5,2022년 6월 6일,채팅창이 2주 지난것들은 전부다 뜨는데.. 최근것들은 아예안떠요. 다른사람한테 채팅와서 가면 글이 없어서.. 올린글 찾아가서 채팅을해야 되요. 그리고.. 키워드 알람 설정을 해놨는데도 불구하고.. 안울리다가 한번에 10-30 개가 폭탄알림으로 들어오는데요. 어떻게 해결해야 하는지 알고 싶습니다.
44,한승빈,3,2022년 7월 22일,"동네인증 기능은 조금 불편한 것 같아요. 타지역에 여행을 온 상태에서 필요한 물건을 거래하려고 했는데, 지역 인증에 실패했다고 나와서 구매하지 못했습니다ㅠㅠ 가격이나 상태를 물어보거나 구매를 예약하려면 반드시 해당 지역 내에 있어야 한다는게 조금 아쉽네요.. 동네인증은 구매를 확정한 후에 해도 괜찮다는 생각이듭니다. 채팅으로 제품 문의하는데 저처럼 지역에 있지 않으면 마음에 들어도 구매할 수 없을거 같아요."
45,M 2M,5,2022년 7월 22일,"인터넷 벼룩시장으로는 아주 훌륭합니다 아,나,바,다.를 몸소 실천하는 재미도 솔솔하고 알림소리인 ""당근"" 하는 애기 목소리가 귀엽고 정겹기까지 하네요 (설정에서 이것 저것 보는것도 재미있음) 여러가지 기능과 폭넓은 검색 기능까지 있어 편하고 좋네요 운영자님 고맙습니다~"
46,비온 뒤 무지개,4,2022년 7월 14일,"지금까지 중고거래 앱 중에서 제일 편리하게 사용하고 있는 사용자 입니다. 거래가 재미있어져서 요즘 자주 사용을 하고 있는데, 요즘 거래 채팅중에 아무 이유없이 무지성 차단 박는 사람들이 있습니다.. 이유야 개인적으로 있을 수도 있지만 당하는 사람 입장에서는 진상취급 받은 것 같고, 무시 당한것 같아 너무 불쾌하고 생각날 수록 정말 화납니다. 제가 잘못했다고 하기엔 분쟁이 일어난 것도 아니고, 여태껏 다른 분들과 거래도 잘 해왔어요. 제가 매너 온도도 낮은 편은 아니거든요.. 차단당하면 후기로도 제지 주기도 어렵고 비매너 목록에도 ""이유없이 차단당했다.""는 불편을 호소할 수 있는 키워드가 없습니다. 맞지 않은 키워드를 체크하면 제가 오희려 제지를 받아아 한다는 사실에 정확한 키워드가 없어서 하기도 꺼려집니다. 이 앱에 정 생길 정도로 자주 애용했었는데, 개선 부탁드립니다."
47,코리아캐리,1,2022년 7월 8일,글만올리면 정지시켜버리니 무서워서 글올리지를 못하겠습니다. 모방할만하니까 모방글을 올리는건데 그것가지고 정지시켜버리니 너무당황스럽습니다. 그리고 동네에 원하는게 없어서 다른동네를 일일이 검색해서 찾아봐야한다는점이 너무불편하고 동네인증하는게 번거롭습니다. 중고거래어플중 가장최악이고 별1개 드리기도 아깝습니다. 너무규정이 빡센것 같다는생각도 듭니다.
48,장희원,4,2022년 6월 5일,"필요없는 물건을 팔수있으니까 좋은 거 같아요! 그런데 이 점들은 개선하면 좋겠어요! 1. 가끔 와이파이가 연결 되어있는데 채팅을 보냈지만 채팅이 안보내진 경우가 있어요. 저는 안 보내진줄 모른 적이 많아요.. 2. 탈퇴한 유저를 비매너 평가할 수 없어요. 신고를 하기엔 애매한 일들은 어떻게 해야할지 모르겠어요..ㅠㅠ 3. 이건 추가하면 좋겠는 점인데 가끔 개별 구매를 하시는 분들이 있어서 예약중 으로 봐꾸거나 판매 완료로 봐꾸는게 애미한 경우가 있어요. 개별 구매를 했을때 그 물건만 따로 예약중, 판매완료로 뜨면 좋겠어요 조금 힘든 내용들이지만 끝까지 봐주셔서 감사합니다. 잘 이용하고 있어요!"
49,박순욱,5,2022년 6월 8일,알림 팝업창에서 항목선택시 바로 그 물건을 볼 수 있게 되어서 좋긴한데 (예전에는 키워드 창이 통째로 떴다) 뒤로가기 (취소버튼)를 누르면 키워드 알림창이 다시 떠야 좋을 것 같습니다 왜 홈 화면이 떠서 다시 키워드를 눌러서 확인해야만 하는지..키워드를 등록해놓은 이유가 무색해지는..설정이네요 당근 덕분에 살림살이 도움이 되어서 이런거 잘 안쓰지만 시간내서 건의해봅니다
50,정정철,4,2022년 5월 22일,"채팅할려면 이전에 대화한 상대방인지가 어떤 이용자거는 뜨고 어떤 이용자거는 뜨지 안습니다. 방금 바지 살려고 채팅하려는데 많이 본 닉네임라서 확인해보니 얼마전 다른옷으로 채팅하다가 별로라서 거래안했던 사람이었음. 아뒤 기억 안나쓰면 어떡할뻔... 채팅했던 사람들 하나하나 들어가서 다른 판매상품에 채팅방 들어가보니 , 어떤 이용자거는 몇달전 채팅한적 있다는 내용이 표시되고, 어떤사람은 표시 안되고 당근 페이 사용자라는 사실만 표기됨. 당근페이사용자라는 표시나온 이후로 이전 대화했던 사람 표시가 잘 안돼는거 같음 . 업데이트해도 똑같네. 확인좀 해보세요. 거래자한텐 몹시 중요한 사항입니다.당근이 다른 중고앱과 차별화되는 이유구요. 좀 맘에 안드는 모든 사람을 차단할수는 업잖아요."
